Grupo;Turno;Nombre;Primero;Grado;Familia
1CFEM;D;MEC;1;GRADO SUPERIOR;MECÁNICA
2CFEM;D;MEC;2;GRADO SUPERIOR;MECÁNICA
2CFMC;D;EMT;2;GRADO MEDIO;ELECTROMECÁNICA
1CFEF;D;FOL;1;GRADO SUPERIOR;ADMINISTRACIÓN Y GESTIÓN
1CFIE;D;COM;1;GRADO SUPERIOR;COMERCIO Y MARKETING
1CESG;D;GER;1;CURSO ESPECIALIZACION;ADMINISTRACIÓN Y GESTIÓN
1CESR;D;REL;1;CURSO ESPECIALIZACION;RECURSOS HUMANOS
2CFIM;S;MAR_SEMI;2;GRADO SUPERIOR;MARKETING Y PUBLICIDAD
1CFEO;S;OFI_SEMI;1;GRADO SUPERIOR;ADMINISTRACIÓN Y GESTIÓN
1CFET;S;TAF_SEMI;1;GRADO MEDIO;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS
2CFEI;S;INF_SEMI;2;GRADO MEDIO;INFORMÁTICA Y COMUNICACIONES
